nodes,SIR,EC,DC,CC,BC
21,0.181,0.129,0.475,0.333,0.000
53,0.163,0.129,0.475,0.333,0.000
43,0.147,0.129,0.475,0.333,0.000
9,0.137,0.129,0.475,0.333,0.000
18,0.134,0.129,0.475,0.333,0.000
2,0.132,0.129,0.475,0.333,0.000
61,0.129,0.129,0.475,0.333,0.000
48,0.126,0.129,0.475,0.333,0.000
58,0.115,0.129,0.475,0.333,0.000
14,0.113,0.129,0.475,0.333,0.000
25,0.111,0.129,0.475,0.333,0.000
38,0.111,0.129,0.475,0.333,0.000
3,0.110,0.129,0.475,0.333,0.000
57,0.108,0.129,0.475,0.333,0.000
27,0.106,0.129,0.475,0.333,0.000
55,0.105,0.129,0.475,0.333,0.000
50,0.105,0.129,0.475,0.333,0.000
40,0.103,0.129,0.475,0.333,0.000
11,0.103,0.129,0.475,0.333,0.000
24,0.102,0.129,0.475,0.333,0.000
19,0.100,0.129,0.475,0.333,0.000
36,0.098,0.129,0.475,0.333,0.000
39,0.098,0.129,0.475,0.333,0.000
45,0.098,0.129,0.475,0.333,0.000
12,0.095,0.129,0.475,0.333,0.000
28,0.094,0.129,0.475,0.333,0.000
56,0.090,0.129,0.475,0.333,0.000
32,0.090,0.129,0.492,0.404,0.507
16,0.087,0.129,0.475,0.333,0.000
34,0.087,0.129,0.475,0.333,0.000
42,0.085,0.129,0.475,0.333,0.000
54,0.084,0.129,0.475,0.333,0.000
47,0.084,0.129,0.475,0.333,0.000
13,0.082,0.129,0.475,0.333,0.000
23,0.082,0.129,0.475,0.333,0.000
10,0.081,0.129,0.475,0.333,0.000
26,0.081,0.129,0.475,0.333,0.000
44,0.079,0.129,0.475,0.333,0.000
29,0.077,0.129,0.492,0.404,0.507
33,0.076,0.129,0.475,0.333,0.000
8,0.074,0.129,0.475,0.333,0.000
6,0.074,0.129,0.475,0.333,0.000
51,0.074,0.129,0.475,0.333,0.000
7,0.073,0.129,0.475,0.333,0.000
4,0.071,0.129,0.475,0.333,0.000
52,0.069,0.129,0.475,0.333,0.000
15,0.066,0.129,0.475,0.333,0.000
59,0.066,0.129,0.475,0.333,0.000
49,0.065,0.129,0.475,0.333,0.000
37,0.065,0.129,0.475,0.333,0.000
17,0.065,0.129,0.475,0.333,0.000
1,0.063,0.129,0.475,0.333,0.000
35,0.063,0.129,0.475,0.333,0.000
22,0.061,0.129,0.475,0.333,0.000
41,0.061,0.129,0.475,0.333,0.000
5,0.058,0.129,0.475,0.333,0.000
60,0.055,0.129,0.475,0.333,0.000
0,0.052,0.129,0.475,0.333,0.000
20,0.031,0.129,0.475,0.333,0.000
46,0.031,0.129,0.475,0.333,0.000
31,0.019,0.005,0.033,0.409,0.508
30,0.018,0.005,0.033,0.409,0.508
